word	raw_frequency	freq_per_m	zipf	num_letters	orth_density	orth_density_nbrs	OLD20	orth_nbr_zipf_m	orth_nbr_zipf_SD	orth_C	IPA	phon_density	phon_density_nbrs	PLD20	phon_nbr_zipf_m	phon_nbr_zipf_SD	phon_C	pg_density	pg_density_nbrs	PGLD20	pg_nbr_zipf_m	pg_nbr_zipf_SD	pg_C	num_phonemes
մեկ	46	25.238670031822668	4.402066465744097	3	10	մեր, մեզ, մեծ, մեկը, եկ, մեկն, մերկ, մեկս, մակ, մեկի	1.5	3.657665897876696	0.6849297510772361	0.2222222222222222	mek	9	mer, mez, mekə, jek, merk, meks, mak, meki, muk	1.55	3.463634263238702	0.721404705487707	0.1666666666666666	8	մեր(mer), մեզ(mez), մեկը(mekə), եկ(jek), մերկ(merk), մեկս(meks), մակ(mak), մեկի(meki)	1.6	3.554174966885724	0.7153315815656399	0.1785714285714285	3
այո	46	25.238670031822668	4.402066465744097	3	2	այ, այր	1.9	3.4294142549183264	0.3890756251918219	1.0	aɪo	2	aɪ, aɪr	1.9	3.4294142549183264	0.3890756251918219	1.0	2	այ(aɪ), այր(aɪr)	1.9	3.4294142549183264	0.3890756251918219	1.0	3
այդպես	45	24.69000329200044	4.392521147837867	6	3	այսպես, այնպես, ադպես	2.5	3.5420552891664734	0.5676276033988217	0.3333333333333333	aɪdpes	3	aɪspes, aɪnpes, adpes	2.5	3.5420552891664734	0.5676276033988217	0.3333333333333333	3	այսպես(aɪspes), այնպես(aɪnpes), ադպես(adpes)	2.5	3.5420552891664734	0.5676276033988217	0.3333333333333333	6
մեծ	42	23.044003072533744	4.362557924460424	3	4	մեր, մեկ, մեզ, մեծն	1.8	4.207323215772843	0.513017801988977	0.5	mets	3	meks, hets, mats	1.85	2.8396519659505173	0.1419069008497054	0.0	0		2.0			0.0	4
նոր	42	23.044003072533744	4.362557924460424	3	6	մոր, նորն, հոր, քոր, չոր, նոսր	1.7	2.869000509126464	0.1903259726754413	0.4	nor	3	or, mor, hor	1.85	3.380735062749817	0.602115013688676	1.0	2	մոր(mor), հոր(hor)	1.9	2.9778692614223545	0.2385606273598313	1.0	3
գիշեր	41	22.49533633271151	4.352092490782259	5	4	գիշերն, գիտեր, գիշերը, գիշերի	1.8	3.084361444490425	0.2261051830541343	0.5	ɡiʃer	1	ɡiter	2.25	3.216429888782186	0.0	0.0	1	գիտեր(ɡiter)	2.25	3.216429888782186	0.0	0.0	5
անգամ	40	21.94666959288928	4.341368625390485	5	2	անգամն, անգամը	1.9	2.889823631894514	0.1505149978319906	1.0	anɡam	1	anɡamə	1.95	2.7393086340625232	0.0	0.0	1	անգամը(anɡamə)	2.0	2.7393086340625232	0.0	0.0	5
դե	40	21.94666959288928	4.341368625390485	2	10	թե, դեռ, դա, դեմ, դեհ, դր, դեր, դեն, դեղ, չե	1.5	3.6585682515543096	0.7502008491035638	0.4	de	7	der, da, dem, deh, der, den, deʀ	1.65	3.445753478954068	0.5234038204848822	0.6666666666666666	9	դեռ(der), դեռ(der), դա(da), դեմ(dem), դեհ(deh), դեր(der), դեր(der), դեն(den), դեղ(deʀ)	1.55	3.717525496914678	0.6867194034844414	0.6111111111111112	2
մոտ	39	21.398002853067048	4.330373241089022	3	4	մոր, մոտն, ոտ, հոտ	1.8	2.858588947742439	0.2065995636363669	0.1666666666666666	mot	3	mor, vot, hot	1.85	2.898349052302411	0.2249171164403383	0.3333333333333333	3	մոր(mor), ոտ(vot), հոտ(hot)	1.85	2.898349052302411	0.2249171164403383	0.3333333333333333	3
գալիս	39	21.398002853067048	4.330373241089022	5	3	տալիս, լալիս, գալիք	1.85	3.458762798094273	0.2594289910914116	0.3333333333333333	ɡalis	2	talis, lalis	2.15	3.579929252750317	0.2385606273598313	1.0	2	տալիս(talis), լալիս(lalis)	2.2	3.579929252750317	0.2385606273598313	1.0	5
որտեղ	38	20.849336113244817	4.319092230679334	5	0		2.5			0.0	vorteʀ	0		3.0			0.0	0		3.0			0.0	6
չես	36	19.752002633600352	4.2956111348298105	3	7	չեմ, չեն, պես, չեք, տես, կես, չե	1.65	3.7752427686041674	0.582942857314775	0.4285714285714285	tʃʰes	6	tʃʰe, tʃʰem, tʃʰen, tʃʰer, tʃʰei, tʃʰe	1.75	3.73128318354582	0.7362878513655815	0.9333333333333332	4	չեմ(tʃʰem), չեն(tʃʰen), չե(tʃʰe), չե(tʃʰe)	1.85	3.579504306530843	0.8584498447949522	0.8333333333333334	5
նման	35	19.20333589377812	4.283376678412799	4	5	նրան, նշան, ման, նմանը, նռան	1.75	3.217495655483199	0.7412171093553058	0.3	nəman	4	nəɹan, nəʃan, nəmanə, nəran	2.05	3.337042410838368	0.7844082931876429	0.5	4	նրան(nəɹan), նշան(nəʃan), նմանը(nəmanə), նռան(nəran)	2.1	3.337042410838368	0.7844082931876429	0.5	5
