word	raw_frequency	freq_per_m	zipf	num_letters	orth_density	orth_density_nbrs	OLD20	orth_nbr_zipf_m	orth_nbr_zipf_SD	orth_C	IPA	phon_density	phon_density_nbrs	PLD20	phon_nbr_zipf_m	phon_nbr_zipf_SD	phon_C	pg_density	pg_density_nbrs	PGLD20	pg_nbr_zipf_m	pg_nbr_zipf_SD	pg_C	num_phonemes
مستعد	1	0.7624566352788685	2.882215148222559	5	3	مسترد, مستند, مستعدی	2.2	3.18324514388654	0.2457899622163288	0.3333333333333333	məstaːd	0.0		2.8			0.0	0.0		2.8			0.0	7
یاہو	1	0.7624566352788685	2.882215148222559	4	1	چاہو	1.95	4.028343183900797	0.0	0.0	jaːhoː	1.0	caːhoː	1.95	4.028343183900797	0.0	0.0	1.0	چاہو(caːhoː)	1.95	4.028343183900797	0.0	0.0	6
نکلینگے	1	0.7624566352788685	2.882215148222559	7	0		2.8			0.0	nɪkliːnɡeː	0.0		4.2			0.0	0.0		4.2			0.0	10
ئبہج	1	0.7624566352788685	2.882215148222559	4	2	ئبہ, قئبہج	1.9	3.0327301460545497	0.1505149978319906	0.0	bʌhəɟ	4.0	qʌhəɟ, hʌhəɟ, ʋʌhəɟ, hʌhəɟ	1.8	3.0327301460545497	0.2606996235461272	0.8333333333333334	0.0		2.3			0.0	5
چوتڑ	1	0.7624566352788685	2.882215148222559	4	0		2.0			0.0	coːtər.	0.0		2.85			0.0	0.0		2.85			0.0	6
شرابا	1	0.7624566352788685	2.882215148222559	5	3	شراب, شرابی, خرابا	1.85	3.2742455679077858	0.2916277357585827	0.3333333333333333	ʃəraːbaː	1.0	xəraːbaː	2.5	2.882215148222559	0.0	0.0	1.0	خرابا(xəraːbaː)	2.5	2.882215148222559	0.0	0.0	8
خلوت	1	0.7624566352788685	2.882215148222559	4	3	خلوص, الوت, خلوصت	1.85	2.9825584801105527	0.1419069008497054	0.3333333333333333	xɪlʋat	0.0		2.85			0.0	0.0		2.85			0.0	6
نوٹوں	1	0.7624566352788685	2.882215148222559	5	1	چوٹوں	1.95	3.1832451438865403	0.0	0.0	noːʈõː	1.0	coːʈõː	2.05	3.1832451438865403	0.0	0.0	1.0	چوٹوں(coːʈõː)	2.05	3.1832451438865403	0.0	0.0	7
لڑرہے	1	0.7624566352788685	2.882215148222559	5	0		2.45			0.0	lʌr.ərheː	0.0		3.6			0.0	0.0		3.6			0.0	8
پیاسا	1	0.7624566352788685	2.882215148222559	5	2	پیارا, پیاسے	1.9	3.333760141718531	0.4515449934959719	0.0	pjaːsaː	2.0	pjaːraː, pjaːseː	2.35	3.333760141718531	0.4515449934959719	0.0	2.0	پیارا(pjaːraː), پیاسے(pjaːseː)	2.35	3.333760141718531	0.4515449934959719	0.0	7
بلوز	1	0.7624566352788685	2.882215148222559	4	4	بوز, بلوط, بلوں, بروز	1.8	3.07675296081847	0.2042571344386253	0.3333333333333333	bəloːz	2.0	bəloːt, bəroːz	1.9	3.0327301460545497	0.1505149978319906	0.0	2.0	بلوط(bəloːt), بروز(bəroːz)	1.9	3.0327301460545497	0.1505149978319906	0.0	6
